,Day,Card,Sum
0,3,1026729,63.97
1,23,1026729,10.38
2,24,1026729,0.0
3,27,1026729,10.0
4,21,1026729,73.05
5,25,1026729,12.53
6,29,1026729,8.72
7,30,1026729,5.62
8,22,1026729,0.0
9,28,1026729,10.47
10,31,1026729,0.0
11,18,1026729,0.0
12,13,1026729,0.0
13,19,1026729,0.0
14,20,1026729,20.0
15,15,1026729,0.0
16,16,1026729,0.0
17,17,1026729,0.0
18,26,1026729,25.0
19,14,1026729,0.0
20,3,3743724,353.54
21,23,3743724,223.19
22,24,3743724,39.04
23,27,3743724,107.52
24,21,3743724,0.0
25,25,3743724,0.0
26,29,3743724,8.58
27,30,3743724,56.96
28,22,3743724,10.86
29,28,3743724,0.92
30,31,3743724,20.0
31,18,3743724,0.0
32,13,3743724,55.92
33,19,3743724,0.0
34,20,3743724,31.89
35,15,3743724,5.32
36,16,3743724,29.74
37,17,3743724,4.31
38,26,3743724,0.0
39,14,3743724,0.0
40,3,1181413,29.47
41,23,1181413,0.0
42,24,1181413,0.0
43,27,1181413,0.0
44,21,1181413,0.0
45,25,1181413,0.0
46,29,1181413,24.7
47,30,1181413,4.7
48,22,1181413,0.0
49,28,1181413,20.0
50,31,1181413,6.95
51,18,1181413,0.0
52,13,1181413,30.0
53,19,1181413,0.0
54,20,1181413,0.0
55,15,1181413,0.0
56,16,1181413,0.0
57,17,1181413,0.0
58,26,1181413,0.0
59,14,1181413,0.0
60,3,2479362,251.38
61,23,2479362,63.4
62,24,2479362,0.0
63,27,2479362,18.93
64,21,2479362,10.0
65,25,2479362,500.0
66,29,2479362,46.67
67,30,2479362,37.14
68,22,2479362,0.0
69,28,2479362,0.0
70,31,2479362,0.0
71,18,2479362,0.0
72,13,2479362,272.0
73,19,2479362,0.0
74,20,2479362,0.0
75,15,2479362,0.0
76,16,2479362,0.0
77,17,2479362,17.1
78,26,2479362,0.0
79,14,2479362,181.63
80,3,3156356,203.55
81,23,3156356,1.49
82,24,3156356,2.7
83,27,3156356,2.7
84,21,3156356,5.0
85,25,3156356,25.0
86,29,3156356,0.0
87,30,3156356,0.0
88,22,3156356,2.7
89,28,3156356,0.0
90,31,3156356,0.0
91,18,3156356,0.0
92,13,3156356,325.66
93,19,3156356,0.0
94,20,3156356,5.4
95,15,3156356,35.24
96,16,3156356,242.08
97,17,3156356,0.0
98,26,3156356,0.0
99,14,3156356,11.04
100,3,3242350,152.5
101,23,3242350,0.0
102,24,3242350,0.0
103,27,3242350,0.0
104,21,3242350,0.0
105,25,3242350,0.0
106,29,3242350,0.0
107,30,3242350,0.0
108,22,3242350,0.0
109,28,3242350,0.0
110,31,3242350,0.0
111,18,3242350,0.0
112,13,3242350,0.0
113,19,3242350,0.0
114,20,3242350,0.0
115,15,3242350,0.0
116,16,3242350,0.0
117,17,3242350,0.0
118,26,3242350,0.0
119,14,3242350,0.0
120,3,563770,120.64
121,23,563770,16.13
122,24,563770,0.0
123,27,563770,452.31
124,21,563770,47.3
125,25,563770,0.0
126,29,563770,8.56
127,30,563770,65.33
128,22,563770,36.19
129,28,563770,32.96
130,31,563770,0.0
131,18,563770,0.0
132,13,563770,749.48
133,19,563770,0.0
134,20,563770,53.26
135,15,563770,44.79
136,16,563770,9.25
137,17,563770,0.0
138,26,563770,0.0
139,14,563770,49.32
